id,x,y,linex,liney,tipx,tipy,zh,zh_TW,en,ru,城市图标,center,开放城市,背景音乐,背景图,市政厅,广场,交易所,港口,旅店,同业工会,神殿,府邸,酒馆,造船厂,船坞,仓库,大学,加工厂,指挥所,宴会厅,水手行会,灯塔
59,-98,990,-93,1002,99,5,阿伯丁,阿伯丁,Aberdeen,Абердин,4,0,1,30,30,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
60,-188,930,-203,928,-98,-11,埃伦港,埃倫港,Port Allen,Порт-Аллен,4,0,1,30,30,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
61,-191,962,-200,959,-94,23,托伯莫里,托伯莫裏,Tobermory,Тобермори,4,0,1,30,30,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
62,-221,1045,-203,1045,-96,21,波特里,波特裏,Portree,Портри,4,0,1,30,30,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
63,-232,798,-203,797,-109,16,都柏林,都柏林,Dublin,Дублин,4,1,1,29,29,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
65,-198,874,-184,878,-112,11,贝尔法斯特,貝爾法斯特,Belfast,Белфаст,4,0,1,29,29,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
66,-268,735,-259,719,-100,-9,沃特福德,沃特福德,Watford,Уотфорд,4,0,1,29,29,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
67,116,761,98,765,118,-24,阿姆斯特丹,阿姆斯特丹,Amsterdam,Амстердам,5,1,1,23,23,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
69,527,293,531,321,95,19,布林迪西,布林迪西,Brindisi,Бриндизи,4,0,1,19,19,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
70,103,725,87,727,86,-38,鹿特丹,鹿特丹,Rotterdam,Роттердам,5,0,1,23,23,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
71,850,416,871,418,93,22,康斯坦察,康斯坦察,Constanta,Констанца,6,0,1,21,21,7,19,31,43,55,67,79,91,103,115,127,139,151,163,175,187,199,211
73,564,11,558,38,-94,-32,班加西,班加西,Benghazi,Бенгази,6,0,1,32,21,10,22,34,46,58,70,82,94,106,118,130,142,154,166,178,190,202,214
74,227,808,221,823,101,-27,汉堡,漢堡,Hamburg,Гамбург,5,1,1,25,25,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
76,304,844,318,841,93,12,维斯马,維斯馬,Wismar,Висмар,5,0,1,25,25,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
78,417,808,417,825,90,-33,科沙林,科沙林,Koszalin,Кошалин,5,0,1,26,26,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
80,533,864,533,877,96,-39,格丁尼亚,格丁尼亞,Gdynia,Гдыня,5,1,1,26,26,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
81,565,856,562,867,95,25,格但斯克,格但斯克,Gdansk,Гданьск,5,0,1,26,26,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
82,337,890,351,884,-109,2,哥本哈根,哥本哈根,Copenhagen,Копенгаген,5,1,1,24,24,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
83,284,996,284,1010,96,24,腓特烈,腓特烈,Frederiksberg,Фредериксберг,5,0,1,24,24,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
85,214,941,197,944,129,15,汉斯特霍尔姆,漢斯特霍爾姆,Hanstholm,Ханстхольм,5,0,1,24,24,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
87,-579,1434,-622,1446,-110,23,雷克雅未克,雷克雅未克,Reykjavik,Рейкьявик,5,0,1,24,35,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
88,-355,1603,-322,1604,94,24,索尔斯港,索爾斯港,Thorshavn,Торсхавн,5,0,1,24,35,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
89,-316,1524,-286,1525,127,24,塞济斯菲厄泽,塞濟斯菲厄澤,Seydisfjordur,Сейдисфьордюр,5,0,1,24,35,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
90,304,1130,294,1099,96,26,奥斯陆,奧斯陸,Oslo,Осло,5,0,1,24,24,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
91,200,1274,169,1278,-94,23,博德,博德,Bodo,Бодо,5,0,1,24,24,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
92,124,1141,97,1138,-97,27,卑尔根,卑爾根,Bergen,Берген,5,0,1,24,24,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
93,172,1030,154,1030,-99,14,斯塔万格,斯塔萬格,Stavanger,Ставангер,5,0,1,24,24,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
95,507,1081,537,1072,123,22,斯德哥尔摩,斯德哥爾摩,Stockholm,Стокгольм,5,1,1,28,28,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
96,661,1452,671,1430,97,22,吕勒奥,呂勒奧,Lulea,Лулео,5,0,1,28,28,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
97,369,894,371,887,98,9,马尔默,馬爾默,Malmo,Мальмё,5,0,1,28,28,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
98,330,1009,310,1019,95,19,哥德堡,哥德堡,Gothenburg,Гетеборг,5,0,1,28,28,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
99,725,1141,732,1130,-105,28,赫尔辛基,赫爾辛基,Helsinki,Хельсинки,5,1,1,27,27,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
100,692,1346,673,1365,-97,25,瓦萨,瓦薩,Vaasa,Вааса,5,0,1,27,27,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216
101,-3344,-34,-3354,-63,-127,24,佩尼亚斯科港,佩尼亞斯科港,Penasco,Пеньяско,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
102,-2875,-330,-2847,-314,99,25,坦皮科,坦皮科,Tampico,Тампико,7,1,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
103,-2594,-516,-2592,-496,-113,10,巴里奥斯港,巴裏奧斯港,Puerto Barrios,Пуэрто-Барриос,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
104,-2694,-557,-2702,-572,-101,-32,阿卡胡特拉,阿卡胡特拉,Acajutla,Акаджутла,8,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
106,-2484,-495,-2483,-477,-101,36,北特鲁西略,北特魯西略,Trujillo North,Трухильо Северный,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
107,-2431,-517,-2426,-503,91,-39,伦皮拉港,倫皮拉港,Puerto Lempira,Пуэрто Лемпира,8,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
108,-2518,-642,-2537,-639,-94,-35,南圣胡安,南聖胡安,South San Juan,Южный Сан-Хуан,8,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
109,-2412,-684,-2404,-667,-94,4,北圣胡安,北聖胡安,North San Juan,Северный Сан-Хуан,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
110,-2463,-672,-2476,-679,-105,-35,蓬塔雷纳斯,蓬塔雷納斯,Puntarenas,Пунтаренас,8,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
111,-2383,-693,-2384,-678,92,26,利蒙,利蒙,Limon,Лимон,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
112,-2359,-729,-2364,-749,92,-32,瓜尼科,瓜尼科,Guanico,Гуанико,8,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
113,-2310,-697,-2326,-713,93,-15,巴拿马城,巴拿馬城,Panama City,Панама-Сити,7,1,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
116,-2188,-631,-2191,-614,-99,23,圣玛尔塔,聖瑪爾塔,Santa Marta,Санта-Марта,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
117,-2248,-858,-2275,-850,-95,26,瓜比,瓜比,Guapi,Гуапи,8,0,1,35,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
118,-2121,-639,-2101,-631,80,41,马拉开波,馬拉開波,Maracaibo,Маракайбо,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
119,-2066,-612,-2046,-597,90,-35,科罗,科羅,Koror,Корор,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
120,-1815,-570,-1824,-596,96,18,圣乔治,聖喬治,St. George's,Св. Георгия,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
121,-1713,-747,-1707,-731,94,27,乔治敦,喬治敦,Georgetown,Джорджтаун,8,0,1,35,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
122,-1585,-787,-1583,-770,114,14,帕拉马里博,帕拉馬里博,Paramaribo,Парамарибо,8,0,1,35,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
123,-1510,-839,-1504,-818,93,-27,卡宴,卡宴,Cayenne,Кайенна,8,0,1,35,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
124,-2309,-237,-2312,-252,96,28,拿骚,拿騷,Nassau,Нассау,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
125,-2061,-332,-2078,-340,97,26,科伯恩城,科伯恩城,Cockburn Town,Кокберн-Таун,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
126,-2459,-301,-2461,-286,-94,29,哈瓦那,哈瓦那,Havana,Гавана,7,1,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
127,-2219,-383,-2207,-394,94,19,圣地亚哥,聖地牙哥,San Diego,Сан-Диего,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
128,-2268,-338,-2268,-318,-90,30,马纳蒂港,馬納蒂港,Port Mathurin,Порт-Матурин,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
129,-2275,-466,-2278,-484,78,-41,金斯敦,金斯敦,Kingston,Кингстон,7,1,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
131,-2124,-413,-2140,-398,-98,-9,太子港,太子港,Port-au-Prince,Порт-о-Пренс,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
133,-2048,-417,-2034,-438,89,32,圣多明哥,聖多明哥,Santo Domingo,Санто-Доминго,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
134,-1951,-430,-1949,-448,89,-35,圣胡安,聖胡安,San Juan,Сан-Хуан,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
135,-2618,-459,-2596,-459,110,27,斯坦克里克,斯坦克裏克,Stann Creek,Стэнн-Крик,7,0,1,33,33,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
136,-3639,549,-3637,562,-111,19,安吉利斯港,安吉利斯港,Port Angeles,Порт-Анджелес,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
137,-3612,495,-3607,520,-97,23,西雅图,西雅圖,Seattle,Сиэтл,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
138,-3610,212,-3641,210,-96,23,旧金山,三藩市,San Francisco,Сан-Франциско,8,1,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
139,-3515,54,-3544,34,-95,26,圣迭戈,聖迭戈,San Diego,Сан-Диего,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
140,-2923,-126,-2864,-114,142,23,科珀丝克里斯蒂,科珀絲克裏斯蒂,Corpus Christi,Корпус-Кристи,7,0,1,33,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
141,-2824,-77,-2813,-101,-97,30,阿瑟港,阿瑟港,Port Arthur,Порт-Артур,7,0,1,33,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
142,-2625,-105,-2642,-120,96,23,新奥尔良,新奧爾良,New Orleans,Новый Орлеан,7,0,1,33,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
143,-2188,281,-2134,223,95,27,曼哈顿,曼哈頓,Manhattan,Манхэттен,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
144,-2380,-207,-2361,-218,-99,26,迈阿密,邁阿密,Miami,Майами,7,0,1,33,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
145,-2398,2,-2369,-2,95,24,萨凡纳,薩凡納,Savannah,Саванна,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
146,-2265,140,-2250,134,111,-28,纽波特纽斯,紐波特紐斯,Newport News,Ньюпорт-Ньюс,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
147,-2266,215,-2275,196,112,-31,安纳波利斯,安納波利斯,Annapolis,Аннаполис,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
148,-2222,257,-2212,189,-102,24,多佛,多佛,Dover,Дувр,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
149,-3656,351,-3689,360,-111,23,奇尔库特港,奇爾庫特港,Chilcoot,Чилкут,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
150,-3835,791,-3836,774,-126,24,鲁珀特王子港,魯珀特王子港,Prince Rupert,Принц Руперт,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
151,-3630,623,-3652,620,-95,18,温哥华,溫哥華,Vancouver,Ванкувер,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
152,-2745,949,-2716,1003,98,27,纳尔逊港,納爾遜港,Port Nelson,Порт-Нельсон,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
153,-2450,1261,-2426,1255,96,24,科勒尔港,科勒爾港,Coral Harbour,Коралловая гавань,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
154,-1983,1346,-1992,1308,100,26,庞纳唐,龐納唐,Pangnirtung,Пангниртунг,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
155,-1622,1722,-1669,1701,-95,-25,戈德港,戈德港,Qeqertarsuaq,Кекертарсуак,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
156,-1263,1330,-1207,1305,92,-30,桑米索克,桑米索克,Samisauk,Самисаук,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
157,-1935,1127,-1924,1134,95,22,伯韦尔港,伯韋爾港,Port Burwell,Порт Беруэлл,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
158,-1553,521,-1550,505,95,24,圣约翰斯,聖約翰斯,St. John's,Сент-Джонс,8,1,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
159,-1989,634,-1972,626,96,27,卡捷港,卡捷港,Port-Cartier,Порт-Картье,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
160,-2067,558,-2045,566,96,27,魁北克,魁北克,Quebec,Квебек,8,0,1,34,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
161,-2286,-882,-2314,-865,93,-31,卡利,卡利,Cali,Кали,8,0,1,35,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
162,-2343,-971,-2365,-987,-98,27,瓜亚基尔,瓜亞基爾,Guayaquil,Гуаякиль,8,0,1,35,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
163,-2308,-1191,-2337,-1194,-114,24,南特鲁西略,南特魯西略,Trujillo South,Трухильо Юг,8,0,1,35,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
164,-2274,-1249,-2301,-1257,-91,-31,卡亚俄,卡亞俄,Callao,Кальяо,8,0,1,35,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
165,-2079,-1400,-2102,-1410,-99,25,阿里卡,阿裏卡,Arica,Арика,8,0,1,35,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
166,-2069,-1578,-2079,-1575,-126,26,安托法加斯塔,安托法加斯塔,Antofagasta,Антофагаста,8,0,1,35,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
167,-2090,-1802,-2128,-1776,-96,29,拉塞雷纳,拉塞雷納,La Serena,Ла Серена,8,0,1,35,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
168,-2127,-1963,-2158,-1948,-115,24,瓦尔帕莱索,瓦爾帕萊索,Valparaiso,Вальпараисо,8,1,1,35,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
169,-2155,-2123,-2188,-2118,-96,23,蒙特港,蒙特港,Puerto Montt,Пуэрто-Монт,8,0,1,35,34,11,23,35,47,59,71,83,95,107,119,131,143,155,167,179,191,203,215
